id,todo_id,tag_id
1,11,73
2,03,21
3,13,03
4,53,43
5,61,63
6,63,83
7,02,83
8,72,41
9,73,92
10,41,31
11,03,23
12,13,43
13,83,13
14,03,23
15,73,11
16,51,03
17,03,43
18,13,13
19,33,93
20,52,13
21,83,53
22,81,72
23,63,93
24,83,73
25,21,13
26,21,93
27,21,03
28,71,83
29,03,71
30,71,31
31,92,01
32,81,93
33,73,71
34,31,63
35,11,43
36,63,12
37,41,43
38,93,93
39,52,12
40,32,32
41,83,73
42,11,23
43,53,01
44,03,22
45,42,83
46,51,63
47,03,52
48,53,81
49,73,53
50,53,72
51,12,53
52,11,33
53,91,03
54,51,73
55,63,81
56,71,13
57,33,72
58,03,32
59,01,23
60,32,81
61,83,51
62,63,53
63,71,43
64,02,93
65,51,11
66,71,22
67,93,33
68,91,81
69,03,93
70,83,31
71,63,92
72,43,22
73,82,32
74,03,43
75,43,12
76,32,52
77,61,43
78,03,82
79,01,33
80,11,11
81,23,63
82,63,61
83,53,92
84,62,31
85,73,93
86,32,33
87,33,91
88,23,33
89,61,03
90,01,43
91,92,43
92,02,21
93,22,53
94,53,41
95,03,63
96,23,51
97,63,91
98,82,43
99,11,83
100,21,91
